	glottocode	path	toplevelfamily	name	hid	level	iso639-3	latitude	longitude	macroareas
0	abin1243	tree/abin1243	abin1243	Abinomn	bsa	language	bsa	-2.92281	138.891	Papunesia
1	abis1238	tree/abis1238	abis1238	Aewa	ash	language	ash	-1.284096	-75.084405	South America
4	abaz1241	tree/abkh1242/abkh1243/abaz1241	abkh1242	Abaza	abq	language	abq	44.25	42.0	Eurasia
8	abkh1244	tree/abkh1242/abkh1243/abkh1244	abkh1242	Abkhaz	abk	language	abk	43.056218	41.159115	Eurasia
13	adyg1241	tree/abkh1242/circ1239/adyg1241	abkh1242	Adyghe	ady	language	ady	44.0	39.33	Eurasia
19	kaba1278	tree/abkh1242/circ1239/kaba1278	abkh1242	Kabardian	kbd	language	kbd	43.5082	43.3918	Eurasia
21	ubyk1235	tree/abkh1242/ubyk1235	abkh1242	Ubykh	uby	language	uby	43.67	39.67	Eurasia
22	abun1252	tree/abun1252	abun1252	Abun	kgr	language	kgr	-0.57073	132.416	Papunesia
26	adai1235	tree/adai1235	adai1235	Adai	xad	language	xad	31.6314	-92.0059	North America
29	awji1241	tree/afro1255/berb1260/awji1241	afro1255	Awjilah	auj	language	auj	29.2341	21.1819	Africa
30	ghad1239	tree/afro1255/berb1260/ghad1239	afro1255	Ghadames	gha	language	gha	30.1168	10.0165	Africa
35	sawk1238	tree/afro1255/berb1260/grea1296/siwi1238/sawk1238	afro1255	Sawknah-Fogaha	swn	language	swn	29.16	15.9742	Africa
36	siwi1239	tree/afro1255/berb1260/grea1296/siwi1238/siwi1239	afro1255	Siwi	siz	language	siz	29.200415	25.519627	Africa
38	chen1266	tree/afro1255/berb1260/grea1296/zena1250/chen1266	afro1255	Western Algerian Berber	cnu	language	cnu	36.5917	2.19899	Africa
41	taga1278	tree/afro1255/berb1260/grea1296/zena1250/moza1250/ouar1239/taga1278	afro1255	Ouargli	oua	language	oua	31.9454	5.28444	Africa
45	tema1243	tree/afro1255/berb1260/grea1296/zena1250/moza1250/ouar1239/tema1243	afro1255	Oued Righ	tjo	language	tjo	33.3489	6.06562	Africa
46	tazn1238	tree/afro1255/berb1260/grea1296/zena1250/moza1250/tazn1238	afro1255	Sud Oranais-Gourara	grr	language	grr	29.1107	0.01992	Africa
50	tidi1241	tree/afro1255/berb1260/grea1296/zena1250/moza1250/tidi1241	afro1255	Tidikelt-Tuat Tamazight	tia	language	tia	27.019	1.86218	Africa
53	tumz1238	tree/afro1255/berb1260/grea1296/zena1250/moza1250/tumz1238	afro1255	Tumzabt	mzb	language	mzb	32.5014	3.85035	Africa
54	tach1249	tree/afro1255/berb1260/grea1296/zena1250/tach1249	afro1255	Chaouia of the Aures	shy	language	shy	35.1867	6.88901	Africa
55	tari1263	tree/afro1255/berb1260/grea1296/zena1250/tari1263	afro1255	Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber	rif	language	rif	34.916974	-3.430616	Africa
75	sene1271	tree/afro1255/berb1260/grea1296/zena1250/zuar1239/sene1271	afro1255	Sened	sds	language	sds	34.4678	9.43778	Africa
78	tuni1262	tree/afro1255/berb1260/grea1296/zena1250/zuar1239/tuni1262	afro1255	Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	language		32.863859	11.299621	Africa
81	cent2194	tree/afro1255/berb1260/kaby1244/atla1275/cent2194	afro1255	Central Moroccan Berber	tzm	language	tzm	32.7415	-2.40872	Africa
85	ghom1257	tree/afro1255/berb1260/kaby1244/atla1275/nort3248/ghom1257	afro1255	Ghomara	gho	language	gho	34.7979	-4.6696	Africa
86	senh1238	tree/afro1255/berb1260/kaby1244/atla1275/nort3248/senh1238	afro1255	Senhaja De Srair	sjs	language	sjs	34.9992	-4.51293	Africa
94	tach1250	tree/afro1255/berb1260/kaby1244/atla1275/tach1250	afro1255	Tachelhit	shi	language	shi	29.7854	-7.77879	Africa
96	kaby1243	tree/afro1255/berb1260/kaby1244/kaby1243	afro1255	Kabyle	kab	language	kab	36.4103	4.76137	Africa
99	nafu1238	tree/afro1255/berb1260/nafu1238	afro1255	Nafusi	jbn	language	jbn	33.4398	9.83329	Africa
106	tama1365	tree/afro1255/berb1260/tuar1240/sout3263/tama1365	afro1255	Tamasheq	taq	language	taq	14.2038	-2.41269	Africa
110	tawa1286	tree/afro1255/berb1260/tuar1240/sout3263/tawa1286	afro1255	Tawallammat Tamajaq	ttq	language	ttq	13.9878	4.47692	Africa
114	taya1257	tree/afro1255/berb1260/tuar1240/sout3263/taya1257	afro1255	Tayart Tamajeq	thz	language	thz	16.9232	7.6743	Africa
117	taha1241	tree/afro1255/berb1260/tuar1240/taha1241	afro1255	Tahaggart Tamahaq	thv	language	thv	22.5908	8.73169	Africa
121	guan1277	tree/afro1255/berb1260/unun9880/guan1277	afro1255	Guanche	gnc	language	gnc	28.0	-15.5	Africa
123	tets1235	tree/afro1255/berb1260/west2724/tets1235	afro1255	Tetserret	tez	language	tez	14.973333	5.699722	Africa
124	zena1248	tree/afro1255/berb1260/west2724/zena1248	afro1255	Zenaga	zen	language	zen	16.82	-16.1711	Africa
128	mbuk1243	tree/afro1255/chad1250/bium1280/hurz1242/mbuk1243	afro1255	Mbuko	mqb	language	mqb	10.7788	14.1677	Africa
129	vame1236	tree/afro1255/chad1250/bium1280/hurz1242/vame1236	afro1255	Vame	mlr	language	mlr	10.9481	14.2131	Africa
138	mbar1260	tree/afro1255/chad1250/bium1280/nort3156/bium1279/musg1256/mbar1260	afro1255	Mbara (Chad)	mpk	language	mpk	10.91	15.54	Africa
139	musg1254	tree/afro1255/chad1250/bium1280/nort3156/bium1279/musg1256/musg1254	afro1255	Musgu	mug	language	mug	10.8439	15.1065	Africa
146	musk1256	tree/afro1255/chad1250/bium1280/nort3156/bium1279/musk1256	afro1255	Muskum	mje	language	mje	11.5697	15.4113	Africa
147	gida1247	tree/afro1255/chad1250/bium1280/nort3156/gida1247	afro1255	Gidar	gid	language	gid	9.874715	14.07845	Africa
150	hyaa1239	tree/afro1255/chad1250/bium1280/nort3156/higi1241/hyaa1239	afro1255	Hya	hya	language	hya	10.4814	13.526	Africa
152	bana1305	tree/afro1255/chad1250/bium1280/nort3156/higi1241/nkaf1238/bana1305	afro1255	Bana	bcw	language	bcw	10.3535	13.6131	Africa
156	kamw1239	tree/afro1255/chad1250/bium1280/nort3156/higi1241/nkaf1238/higi1242/kamw1239	afro1255	Kamwe	hig	language	hig	10.646	13.5136	Africa
157	kiry1234	tree/afro1255/chad1250/bium1280/nort3156/higi1241/nkaf1238/higi1242/kiry1234	afro1255	Kirya-Konzel	fkk	language	fkk	10.48	13.36	Africa
158	psik1239	tree/afro1255/chad1250/bium1280/nort3156/higi1241/psik1239	afro1255	Psikye	kvj	language	kvj	10.677	13.569	Africa
163	budu1265	tree/afro1255/chad1250/bium1280/nort3156/koto1267/budu1265	afro1255	Buduma	bdm	language	bdm	13.0692	14.4492	Africa
169	jina1244	tree/afro1255/chad1250/bium1280/nort3156/koto1267/jina1243/jina1244	afro1255	Jina	jia	language	jia	11.3555	14.9611	Africa
173	maje1243	tree/afro1255/chad1250/bium1280/nort3156/koto1267/jina1243/maje1243	afro1255	Majera	xmj	language	xmj	11.1433	15.044	Africa
178	lagw1237	tree/afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/lagw1237	afro1255	Lagwan	kot	language	kot	11.5592	14.9884	Africa
182	mser1242	tree/afro1255/chad1250/bium1280/nort3156/koto1267/koto1263/mser1242	afro1255	Mser	kqx	language	kqx	11.9765	15.0373	Africa
190	afad1236	tree/afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268/afad1236	afro1255	Afade	aal	language	aal	12.0551	14.6343	Africa
191	masl1241	tree/afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268/masl1241	afro1255	Maslam	msv	language	msv	12.1918	14.8873	Africa
195	malg1250	tree/afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/malg1250	afro1255	Malgbe	mxf	language	mxf	12.5342	14.8475	Africa
202	mpad1242	tree/afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/mpad1242	afro1255	Mpade	mpi	language	mpi	12.561391	14.446893	Africa
209	ngal1301	tree/afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1269/ngal1301	afro1255	Ngala of Lake Chad	NOCODE_Ngala-Barth	language		12.35762	14.188038	Africa
211	hdii1240	tree/afro1255/chad1250/bium1280/nort3156/lama1287/hdii1240	afro1255	Hdi	xed	language	xed	10.942	13.6881	Africa
213	lama1288	tree/afro1255/chad1250/bium1280/nort3156/lama1287/lama1288	afro1255	Lamang	hia	language	hia	11.0243	13.7362	Africa
225	vemg1240	tree/afro1255/chad1250/bium1280/nort3156/lama1287/vemg1240	afro1255	Vemgo-Mabas	vem	language	vem	10.8301	13.6633	Africa
232	huba1236	tree/afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/kilb1234/huba1236	afro1255	Huba	hbb	language	hbb	10.3544	13.139	Africa
234	marg1266	tree/afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/kilb1234/marg1266	afro1255	Marghi South	mfm	language	mfm	10.53854	12.99521	Africa
235	marg1265	tree/afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bium1270/marg1265	afro1255	Marghi Central	mrt	language	mrt	10.93854	13.0521	Africa
241	bura1292	tree/afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297/bura1292	afro1255	Bura-Pabir	bwr	language	bwr	10.4822	12.3007	Africa
245	ciba1236	tree/afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297/ciba1236	afro1255	Cibak	ckl	language	ckl	10.8977	12.902	Africa
246	nggw1242	tree/afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297/nggw1242	afro1255	Nggwahyi	ngx	language	ngx	10.6058	12.9234	Africa
247	puta1243	tree/afro1255/chad1250/bium1280/nort3156/marg1267/bura1296/bura1297/puta1243	afro1255	Putai	mfl	language	mfl	10.83854	12.99521	Africa
250	dghw1239	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/dghw1239	afro1255	Dghwede	dgh	language	dgh	11.05751	13.77847	Africa
252	cine1238	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/gudu1253/cine1238	afro1255	Cineni	cie	language	cie	11.1319	13.8187	Africa
253	gudu1252	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/gudu1253/gudu1252	afro1255	Guduf-Gava	gdf	language	gdf	11.1057	13.7893	Africa
257	gvok1239	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/dghw1240/gvok1239	afro1255	Gvoko	ngs	language	ngs	10.9918	13.7537	Africa
259	mata1306	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/podo1243/mata1306	afro1255	Matal	mfh	language	mfh	10.9284	14.0474	Africa
260	park1239	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/podo1243/park1239	afro1255	Parkwa	pbi	language	pbi	11.0206	14.0964	Africa
262	glav1244	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/wand1280/glav1244	afro1255	Glavda	glw	language	glw	11.1334	13.8652	Africa
267	malg1251	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/wand1280/wand1281/malg1251	afro1255	Malgwa	NOCODE_Malgwa	language		11.77	13.61	Africa
268	wand1278	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mand1472/wand1280/wand1281/wand1278	afro1255	Wandala	mfi	language	mfi	11.3169	13.8996	Africa
281	dugw1239	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/meri1245/dugw1239	afro1255	Dugwor	dme	language	dme	10.752	14.2134	Africa
283	mere1246	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/meri1245/mere1246	afro1255	Merey	meq	language	meq	10.7458	14.09	Africa
285	zulg1242	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/meri1245/zulg1242	afro1255	Zulgo-Gemzek	gnd	language	gnd	10.827	14.0578	Africa
290	mofu1248	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/mofu1250/mofu1248	afro1255	Mofu-Gudur	mif	language	mif	10.567	14.0314	Africa
297	nort3046	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/mofu1250/nort3046	afro1255	North Mofu	mfk	language	mfk	10.6834	14.1117	Africa
301	mada1293	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/toko1243/mada1293	afro1255	Mada (Cameroon)	mxu	language	mxu	10.8806	14.1142	Africa
302	molo1266	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/toko1243/molo1266	afro1255	Moloko	mlw	language	mlw	10.7933	14.2521	Africa
305	muya1243	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/toko1243/muya1243	afro1255	Muyang	muy	language	muy	10.86047	14.21246	Africa
306	wuzl1236	tree/afro1255/chad1250/bium1280/nort3156/marg1267/mofu1249/toko1243/wuzl1236	afro1255	Wuzlam	udl	language	udl	10.955	14.1378	Africa
308	bald1241	tree/afro1255/chad1250/bium1280/nort3156/maro1246/bald1241	afro1255	Baldemu	bdn	language	bdn	10.9078	14.4674	Africa
310	nort3047	tree/afro1255/chad1250/bium1280/nort3156/maro1246/gizi1243/nort3047	afro1255	North Giziga	gis	language	gis	10.6755	14.219	Africa
312	sout3051	tree/afro1255/chad1250/bium1280/nort3156/maro1246/gizi1243/sout3051	afro1255	South Giziga	giz	language	giz	10.2809	14.1931	Africa
319	baca1246	tree/afro1255/chad1250/bium1280/sout3145/bium1271/bata1320/baca1246	afro1255	Bacama	bcy	language	bcy	9.53072	12.0416	Africa
324	bata1314	tree/afro1255/chad1250/bium1280/sout3145/bium1271/bata1320/bata1314	afro1255	Bata	bta	language	bta	9.68091	12.677	Africa
337	fali1285	tree/afro1255/chad1250/bium1280/sout3145/bium1271/gude1247/gude1248/fali1290/fali1285	afro1255	Fali	fli	language	fli	10.5419	13.4087	Africa
338	gude1246	tree/afro1255/chad1250/bium1280/sout3145/bium1271/gude1247/gude1248/fali1290/gude1246	afro1255	Gude	gde	language	gde	10.2138	13.403	Africa
343	jimi1254	tree/afro1255/chad1250/bium1280/sout3145/bium1271/gude1247/gude1248/jimi1254	afro1255	Jimi (Cameroon)	jim	language	jim	10.251	13.5258	Africa
349	zizi1238	tree/afro1255/chad1250/bium1280/sout3145/bium1271/gude1247/gude1248/zizi1238	afro1255	Zizilivakan	ziz	language	ziz	10.4689	13.5233	Africa
351	holm1250	tree/afro1255/chad1250/bium1280/sout3145/bium1271/gude1247/nzan1241/holm1250	afro1255	Holma	hod	language	hod	9.96843	13.19949	Africa
352	nzan1240	tree/afro1255/chad1250/bium1280/sout3145/bium1271/gude1247/nzan1241/nzan1240	afro1255	Nzanyi	nja	language	nja	10.0666	13.3343	Africa
363	shar1249	tree/afro1255/chad1250/bium1280/sout3145/bium1271/gude1247/shar1250/shar1249	afro1255	Sharwa	swq	language	swq	10.1414	13.5657	Africa
364	tsuv1243	tree/afro1255/chad1250/bium1280/sout3145/bium1271/gude1247/shar1250/tsuv1243	afro1255	Tsuvan	tsh	language	tsh	10.1551	13.628	Africa
365	gudu1250	tree/afro1255/chad1250/bium1280/sout3145/bium1271/gudu1250	afro1255	Gudu	gdu	language	gdu	10.1206	12.5359	Africa
367	ngwa1251	tree/afro1255/chad1250/bium1280/sout3145/bium1271/ngwa1251	afro1255	Ngwaba	ngw	language	ngw	10.0921	12.7942	Africa
370	buwa1243	tree/afro1255/chad1250/bium1280/sout3145/bium1274/buwa1244/buwa1243	afro1255	Buwal	bhs	language	bhs	10.6151	13.8838	Africa
371	gava1241	tree/afro1255/chad1250/bium1280/sout3145/bium1274/buwa1244/gava1241	afro1255	Gavar	gou	language	gou	10.5603	13.8188	Africa
373	maza1304	tree/afro1255/chad1250/bium1280/sout3145/bium1274/daba1262/maza1304	afro1255	Mazagway	dkx	language	dkx	10.175	13.6873	Africa
376	nucl1683	tree/afro1255/chad1250/bium1280/sout3145/bium1274/daba1262/nucl1683	afro1255	Daba	dbq	language	dbq	10.3521	13.6318	Africa
379	mbed1242	tree/afro1255/chad1250/bium1280/sout3145/bium1274/mbed1242	afro1255	Mbedam	xmd	language	xmd	10.466	13.9322	Africa
380	mina1276	tree/afro1255/chad1250/bium1280/sout3145/bium1274/mina1276	afro1255	Mina (Cameroon)	hna	language	hna	10.38053	13.84054	Africa
386	boga1251	tree/afro1255/chad1250/bium1280/sout3145/bium1275/east2649/boga1251	afro1255	Boga	bvw	language	bvw	10.188	12.936	Africa
387	gaan1243	tree/afro1255/chad1250/bium1280/sout3145/bium1275/east2649/gaan1243	afro1255	Ga'anda	gqa	language	gqa	10.2955	12.6479	Africa
390	hwan1240	tree/afro1255/chad1250/bium1280/sout3145/bium1275/east2649/hwan1240	afro1255	Hwana	hwo	language	hwo	10.3633	12.7683	Africa
392	jara1274	tree/afro1255/chad1250/bium1280/sout3145/bium1275/west2707/jara1274	afro1255	Jara	jaf	language	jaf	10.5232	11.7036	Africa
393	tera1251	tree/afro1255/chad1250/bium1280/sout3145/bium1275/west2707/tera1251	afro1255	Tera	ttr	language	ttr	11.0376	11.80953	Africa
398	cuvo1236	tree/afro1255/chad1250/bium1280/sout3145/mata1311/cuvo1236	afro1255	Cuvok	cuv	language	cuv	10.6448	14.0006	Africa
399	mafa1239	tree/afro1255/chad1250/bium1280/sout3145/mata1311/mafa1239	afro1255	Mafa	maf	language	maf	10.943	13.8181	Africa
413	mefe1242	tree/afro1255/chad1250/bium1280/sout3145/mata1311/mefe1242	afro1255	Mefele	mfj	language	mfj	10.677	13.8201	Africa
418	suku1272	tree/afro1255/chad1250/bium1280/sout3145/suku1272	afro1255	Sukur	syk	language	syk	10.8933	13.6437	Africa
420	jilb1238	tree/afro1255/chad1250/bium1280/unun9878/jilb1238	afro1255	Jilbe	jie	language	jie	11.7992	14.5794	Africa
424	bare1279	tree/afro1255/chad1250/east2632/east2633/bara1406/bare1279	afro1255	Barain	bva	language	bva	10.970124	17.911727	Africa
429	saka1296	tree/afro1255/chad1250/east2632/east2633/bara1406/saka1296	afro1255	Jalking	NOCODE_Jalking	language		11.142643	18.139694	Africa
433	birg1239	tree/afro1255/chad1250/east2632/east2633/east2709/dang1275/birg1240/birg1239	afro1255	Birgit	btf	language	btf	12.0228	19.8182	Africa
438	mogu1251	tree/afro1255/chad1250/east2632/east2633/east2709/dang1275/birg1240/mogu1251	afro1255	Mogum	mou	language	mou	11.5199	18.6082	Africa
443	tora1267	tree/afro1255/chad1250/east2632/east2633/east2709/dang1275/birg1240/tora1267	afro1255	Toram	trj	language	trj	11.2027	19.5254	Africa
445	bidi1241	tree/afro1255/chad1250/east2632/east2633/east2709/dang1275/dang1276/bidi1241	afro1255	Bidiyo	bid	language	bid	11.9204	18.8065	Africa
451	dang1274	tree/afro1255/chad1250/east2632/east2633/east2709/dang1275/dang1276/dang1274	afro1255	Dangaleat	daa	language	daa	12.1517	18.385	Africa
455	miga1249	tree/afro1255/chad1250/east2632/east2633/east2709/dang1275/dang1276/miga1249	afro1255	Migaama	mmy	language	mmy	12.2367	18.9614	Africa
461	jonk1238	tree/afro1255/chad1250/east2632/east2633/east2709/dang1275/dang1276/unun9877/jonk1238	afro1255	Jonkor Bourmataguil	jeu	language	jeu	11.5034	19.0954	Africa
464	mabi1242	tree/afro1255/chad1250/east2632/east2633/east2709/dang1275/mabi1242	afro1255	Mabire	muj	language	muj	11.698	18.6282	Africa
466	kaja1254	tree/afro1255/chad1250/east2632/east2633/east2709/mubi1247/kaja1254	afro1255	Kajakse	ckq	language	ckq	12.2492	20.879	Africa
467	masm1239	tree/afro1255/chad1250/east2632/east2633/east2709/mubi1247/masm1239	afro1255	Masmaje	mes	language	mes	13.076	19.2769	Africa
468	mubi1246	tree/afro1255/chad1250/east2632/east2633/east2709/mubi1247/mubi1246	afro1255	Mubi	mub	language	mub	12.6893	19.5902	Africa
469	zire1244	tree/afro1255/chad1250/east2632/east2633/east2709/mubi1247/zire1244	afro1255	Zirenkel	zrn	language	zrn	12.2275	18.5374	Africa
471	mawa1270	tree/afro1255/chad1250/east2632/east2633/east2710/mawa1270	afro1255	Mawa (Chad)	mcw	language	mcw	11.7461	18.2999	Africa
474	boor1242	tree/afro1255/chad1250/east2632/east2633/east2710/soko1265/milt1242/boor1242	afro1255	Boor	bvf	language	bvf	10.0904	17.5648	Africa
475	milt1241	tree/afro1255/chad1250/east2632/east2633/east2710/soko1265/milt1242/milt1241	afro1255	Miltu	mlj	language	mlj	10.2347	17.4126	Africa
477	saba1276	tree/afro1255/chad1250/east2632/east2633/east2710/soko1265/saba1281/saba1276	afro1255	Saba	saa	language	saa	11.3072	18.4906	Africa
478	soko1263	tree/afro1255/chad1250/east2632/east2633/east2710/soko1265/saba1281/soko1263	afro1255	Sokoro	sok	language	sok	11.4634	17.6423	Africa
481	tamk1242	tree/afro1255/chad1250/east2632/east2633/east2710/soko1265/saba1281/tamk1242	afro1255	Tamki	tax	language	tax	11.4926	18.2295	Africa
482	ubii1238	tree/afro1255/chad1250/east2632/east2633/east2710/ubii1238	afro1255	Ubi	ubi	language	ubi	11.8006	18.558	Africa
483	muku1242	tree/afro1255/chad1250/east2632/east2633/muku1242	afro1255	Mukulu	moz	language	moz	11.8644	18.1822	Africa
492	kera1255	tree/afro1255/chad1250/east2632/east2640/east2641/kera1255	afro1255	Kera	ker	language	ker	9.88165	15.1419	Africa
494	kwan1285	tree/afro1255/chad1250/east2632/east2640/east2641/kwan1285	afro1255	Kwang	kvi	language	kvi	10.1181	16.5129	Africa
505	lele1276	tree/afro1255/chad1250/east2632/east2640/east2645/east2721/lele1276	afro1255	Lele (Chad)	lln	language	lln	9.158	15.81149	Africa
506	nanc1253	tree/afro1255/chad1250/east2632/east2640/east2645/east2721/nanc1253	afro1255	Nancere	nnc	language	nnc	9.31975	16.1282	Africa
509	gabr1253	tree/afro1255/chad1250/east2632/east2640/east2645/east2722/gabr1256/gabr1253	afro1255	Gabri	gab	language	gab	9.33955	16.623	Africa
510	kimr1241	tree/afro1255/chad1250/east2632/east2640/east2645/east2722/gabr1256/kimr1241	afro1255	Kimre	kqp	language	kqp	9.42071	16.9423	Africa
514	kaba1292	tree/afro1255/chad1250/east2632/east2640/east2645/east2722/kaba1292	afro1255	Kabalai	kvf	language	kvf	9.38373	16.2821	Africa
516	toba1280	tree/afro1255/chad1250/east2632/east2640/east2645/east2722/toba1280	afro1255	Tobanga	tng	language	tng	9.8289	16.209	Africa
523	mire1238	tree/afro1255/chad1250/east2632/east2640/east2775/east2643/ndam1255/mire1238	afro1255	Mire	mvh	language	mvh	9.69132	16.9932	Africa
524	ndam1251	tree/afro1255/chad1250/east2632/east2640/east2775/east2643/ndam1255/ndam1251	afro1255	Ndam	ndm	language	ndm	9.79369	17.326	Africa
527	tuma1260	tree/afro1255/chad1250/east2632/east2640/east2775/east2643/ndam1255/tuma1260	afro1255	Tumak	tmc	language	tmc	9.43747	17.4216	Africa
531	saru1245	tree/afro1255/chad1250/east2632/east2640/east2775/east2643/sarw1240/saru1245	afro1255	Sarua	swy	language	swy	10.5987	17.031	Africa
532	somr1248	tree/afro1255/chad1250/east2632/east2640/east2775/east2643/sarw1240/somr1248	afro1255	Somrai	sor	language	sor	9.65897	16.6784	Africa
533	gada1262	tree/afro1255/chad1250/east2632/east2640/east2775/gada1262	afro1255	Gadang	gdk	language	gdk	10.425	16.997	Africa
537	hama1241	tree/afro1255/chad1250/masa1323/nort3157/marb1244/hama1241	afro1255	Ham	NOCODE_Ham	language		9.951721	15.590037	Africa
538	marb1239	tree/afro1255/chad1250/masa1323/nort3157/marb1244/marb1239	afro1255	Marba	mpg	language	mpg	9.54	15.8	Africa
540	muse1242	tree/afro1255/chad1250/masa1323/nort3157/marb1244/muse1242	afro1255	Musey	mse	language	mse	9.81612	15.4115	Africa
547	gize1234	tree/afro1255/chad1250/masa1323/nort3157/masa1324/gize1234	afro1255	Gizey	NOCODE_Gizey	language		10.023278	15.269103	Africa
548	masa1322	tree/afro1255/chad1250/masa1323/nort3157/masa1324/masa1322	afro1255	Masana	mcn	language	mcn	10.0606	15.4748	Africa
561	zuma1239	tree/afro1255/chad1250/masa1323/nort3157/masa1324/zuma1239	afro1255	Zumaya	zuy	language	zuy	10.55798	14.44451	Africa
563	herd1236	tree/afro1255/chad1250/masa1323/sout3146/herd1236	afro1255	Herde	hed	language	hed	9.14343	14.9267	Africa
564	mesm1239	tree/afro1255/chad1250/masa1323/sout3146/mesm1239	afro1255	Mesme	zim	language	zim	9.28888	15.7018	Africa
567	nget1241	tree/afro1255/chad1250/masa1323/sout3146/nget1241	afro1255	Ngete	nnn	language	nnn	9.31902	15.29053	Africa
568	peve1243	tree/afro1255/chad1250/masa1323/sout3146/peve1243	afro1255	Peve	lme	language	lme	9.16111	14.441	Africa
576	fyer1241	tree/afro1255/chad1250/west2785/west2714/west2716/fyer1240/fyer1241	afro1255	Fyer	fie	language	fie	9.49936	9.29503	Africa
577	tamb1267	tree/afro1255/chad1250/west2785/west2714/west2716/fyer1240/tamb1267	afro1255	Tambas	tdk	language	tdk	9.36039	9.32836	Africa
579	kule1247	tree/afro1255/chad1250/west2785/west2714/west2716/roni1235/kule1247	afro1255	Kulere	kul	language	kul	9.18	8.85	Africa
583	mang1417	tree/afro1255/chad1250/west2785/west2714/west2716/roni1235/mang1417	afro1255	Mangar	NOCODE_Mangar	language		9.068012	8.73608	Africa
585	duhw1236	tree/afro1255/chad1250/west2785/west2714/west2716/roni1235/mund1337/duhw1236	afro1255	Duhwa	kbz	language	kbz	9.32586	8.77995	Africa
586	mund1334	tree/afro1255/chad1250/west2785/west2714/west2716/roni1235/mund1337/mund1334	afro1255	Mindat	mmf	language	mmf	9.15151	8.76875	Africa
587	ronn1241	tree/afro1255/chad1250/west2785/west2714/west2716/roni1235/ronn1241	afro1255	Ron	cla	language	cla	9.3	9.02	Africa
590	shaa1247	tree/afro1255/chad1250/west2785/west2714/west2716/roni1235/shaa1247	afro1255	Sya	scw	language	scw	9.23281	8.77569	Africa
592	gwan1268	tree/afro1255/chad1250/west2785/west2714/west2718/gwan1268	afro1255	Gwandara	gwn	language	gwn	9.20464	7.49931	Africa
599	haus1257	tree/afro1255/chad1250/west2785/west2714/west2718/haus1257	afro1255	Hausa	hau	language	hau	11.1513	8.7804	Africa
622	kare1348	tree/afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/kare1348	afro1255	Karekare	kai	language	kai	12.5176	10.8732	Africa
628	gala1264	tree/afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/gala1264	afro1255	Galambu	glo	language	glo	10.1258	10.2542	Africa
631	daza1244	tree/afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234/giiw1237/daza1244	afro1255	Daza	dzd	language	dzd	10.30573	10.73936	Africa
634	giiw1236	tree/afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234/giiw1237/giiw1236	afro1255	Giiwo	kks	language	kks	10.35754	10.46037	Africa
637	beel1236	tree/afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234/ngam1283/bola1254/beel1236	afro1255	Beele	bxq	language	bxq	10.1609	10.4204	Africa
638	nucl1695	tree/afro1255/chad1250/west2785/west2714/west2799/west2715/bole1261/nucl1735/gala1265/kirf1234/ngam1283/bola1254/nucl1695	afro1255	Bole	bol	language	bol	11.4839	11.2322	Africa
