glottocode	family
somr1248	Afro-Asiatic [afro1255]
gada1262	Afro-Asiatic [afro1255]
hama1241	Afro-Asiatic [afro1255]
marb1239	Afro-Asiatic [afro1255]
muse1242	Afro-Asiatic [afro1255]
gize1234	Afro-Asiatic [afro1255]
masa1322	Afro-Asiatic [afro1255]
zuma1239	Afro-Asiatic [afro1255]
herd1236	Afro-Asiatic [afro1255]
mesm1239	Afro-Asiatic [afro1255]
nget1241	Afro-Asiatic [afro1255]
peve1243	Afro-Asiatic [afro1255]
fyer1241	Afro-Asiatic [afro1255]
tamb1267	Afro-Asiatic [afro1255]
kule1247	Afro-Asiatic [afro1255]
mang1417	Afro-Asiatic [afro1255]
duhw1236	Afro-Asiatic [afro1255]
mund1334	Afro-Asiatic [afro1255]
ronn1241	Afro-Asiatic [afro1255]
shaa1247	Afro-Asiatic [afro1255]
gwan1268	Afro-Asiatic [afro1255]
haus1257	Afro-Asiatic [afro1255]
kare1348	Afro-Asiatic [afro1255]
gala1264	Afro-Asiatic [afro1255]
daza1244	Afro-Asiatic [afro1255]
giiw1236	Afro-Asiatic [afro1255]
beel1236	Afro-Asiatic [afro1255]
nucl1695	Afro-Asiatic [afro1255]
ngam1282	Afro-Asiatic [afro1255]
gera1246	Afro-Asiatic [afro1255]
geru1240	Afro-Asiatic [afro1255]
deno1239	Afro-Asiatic [afro1255]
kubi1239	Afro-Asiatic [afro1255]
bure1242	Afro-Asiatic [afro1255]
khol1240	Afro-Asiatic [afro1255]
maak1236	Afro-Asiatic [afro1255]
nyam1285	Afro-Asiatic [afro1255]
dera1248	Afro-Asiatic [afro1255]
kush1236	Afro-Asiatic [afro1255]
pero1241	Afro-Asiatic [afro1255]
piya1245	Afro-Asiatic [afro1255]
kutt1236	Afro-Asiatic [afro1255]
kwaa1269	Afro-Asiatic [afro1255]
nucl1696	Afro-Asiatic [afro1255]
goem1240	Afro-Asiatic [afro1255]
mont1280	Afro-Asiatic [afro1255]
koen1239	Afro-Asiatic [afro1255]
pyap1239	Afro-Asiatic [afro1255]
tall1250	Afro-Asiatic [afro1255]
yiwo1237	Afro-Asiatic [afro1255]
beln1234	Afro-Asiatic [afro1255]
cakf1236	Afro-Asiatic [afro1255]
jort1240	Afro-Asiatic [afro1255]
kofy1242	Afro-Asiatic [afro1255]
nucl1698	Afro-Asiatic [afro1255]
mish1244	Afro-Asiatic [afro1255]
mwag1236	Afro-Asiatic [afro1255]
ngas1240	Afro-Asiatic [afro1255]
duwa1244	Afro-Asiatic [afro1255]
ngiz1242	Afro-Asiatic [afro1255]
bade1248	Afro-Asiatic [afro1255]
auyo1240	Afro-Asiatic [afro1255]
tesh1239	Afro-Asiatic [afro1255]
diri1259	Afro-Asiatic [afro1255]
ciwo1236	Afro-Asiatic [afro1255]
mbur1239	Afro-Asiatic [afro1255]
miya1266	Afro-Asiatic [afro1255]
kari1316	Afro-Asiatic [afro1255]
warj1253	Afro-Asiatic [afro1255]
ajaw1236	Afro-Asiatic [afro1255]
paaa1242	Afro-Asiatic [afro1255]
siri1278	Afro-Asiatic [afro1255]
zumb1240	Afro-Asiatic [afro1255]
bogh1241	Afro-Asiatic [afro1255]
kirb1236	Afro-Asiatic [afro1255]
mang1416	Afro-Asiatic [afro1255]
guru1271	Afro-Asiatic [afro1255]
jimi1255	Afro-Asiatic [afro1255]
juuu1243	Afro-Asiatic [afro1255]
tala1295	Afro-Asiatic [afro1255]
zang1255	Afro-Asiatic [afro1255]
nucl1692	Afro-Asiatic [afro1255]
zara1252	Afro-Asiatic [afro1255]
luri1256	Afro-Asiatic [afro1255]
buli1260	Afro-Asiatic [afro1255]
polc1243	Afro-Asiatic [afro1255]
lund1276	Afro-Asiatic [afro1255]
zull1239	Afro-Asiatic [afro1255]
dass1243	Afro-Asiatic [afro1255]
dyar1234	Afro-Asiatic [afro1255]
saya1246	Afro-Asiatic [afro1255]
zari1242	Afro-Asiatic [afro1255]
lush1256	Afro-Asiatic [afro1255]
dans1239	Afro-Asiatic [afro1255]
nucl1693	Afro-Asiatic [afro1255]
zeem1242	Afro-Asiatic [afro1255]
beja1238	Afro-Asiatic [afro1255]
awng1244	Afro-Asiatic [afro1255]
bili1260	Afro-Asiatic [afro1255]
xamt1239	Afro-Asiatic [afro1255]
qima1242	Afro-Asiatic [afro1255]
daha1245	Afro-Asiatic [afro1255]
burj1242	Afro-Asiatic [afro1255]
hadi1240	Afro-Asiatic [afro1255]
libi1250	Afro-Asiatic [afro1255]
alab1254	Afro-Asiatic [afro1255]
kamb1316	Afro-Asiatic [afro1255]
gede1246	Afro-Asiatic [afro1255]
sida1246	Afro-Asiatic [afro1255]
afar1241	Afro-Asiatic [afro1255]
saho1246	Afro-Asiatic [afro1255]
buss1239	Afro-Asiatic [afro1255]
dira1242	Afro-Asiatic [afro1255]
kons1243	Afro-Asiatic [afro1255]
bora1271	Afro-Asiatic [afro1255]
orma1241	Afro-Asiatic [afro1255]
east2652	Afro-Asiatic [afro1255]
waat1238	Afro-Asiatic [afro1255]
west2721	Afro-Asiatic [afro1255]
bais1246	Afro-Asiatic [afro1255]
jiid1238	Afro-Asiatic [afro1255]
daba1260	Afro-Asiatic [afro1255]
tunn1238	Afro-Asiatic [afro1255]
giri1245	Afro-Asiatic [afro1255]
awee1242	Afro-Asiatic [afro1255]
garr1259	Afro-Asiatic [afro1255]
maay1238	Afro-Asiatic [afro1255]
rend1243	Afro-Asiatic [afro1255]
soma1255	Afro-Asiatic [afro1255]
arbo1245	Afro-Asiatic [afro1255]
daas1238	Afro-Asiatic [afro1255]
elmo1238	Afro-Asiatic [afro1255]
gaww1239	Afro-Asiatic [afro1255]
tsam1247	Afro-Asiatic [afro1255]
yaak1241	Afro-Asiatic [afro1255]
boon1242	Afro-Asiatic [afro1255]
aasa1238	Afro-Asiatic [afro1255]
kwad1248	Afro-Asiatic [afro1255]
buru1320	Afro-Asiatic [afro1255]
alag1248	Afro-Asiatic [afro1255]
goro1270	Afro-Asiatic [afro1255]
iraq1241	Afro-Asiatic [afro1255]
copt1239	Afro-Asiatic [afro1255]
egyp1246	Afro-Asiatic [afro1255]
akka1240	Afro-Asiatic [afro1255]
ebla1238	Afro-Asiatic [afro1255]
amor1239	Afro-Asiatic [afro1255]
anci1245	Afro-Asiatic [afro1255]
hadr1236	Afro-Asiatic [afro1255]
hija1235	Afro-Asiatic [afro1255]
jude1267	Afro-Asiatic [afro1255]
sana1295	Afro-Asiatic [afro1255]
baha1259	Afro-Asiatic [afro1255]
dhof1235	Afro-Asiatic [afro1255]
shih1239	Afro-Asiatic [afro1255]
gulf1241	Afro-Asiatic [afro1255]
najd1235	Afro-Asiatic [afro1255]
oman1239	Afro-Asiatic [afro1255]
taiz1242	Afro-Asiatic [afro1255]
taji1248	Afro-Asiatic [afro1255]
khor1274	Afro-Asiatic [afro1255]
uzbe1248	Afro-Asiatic [afro1255]
meso1252	Afro-Asiatic [afro1255]
jude1266	Afro-Asiatic [afro1255]
nort3142	Afro-Asiatic [afro1255]
east2690	Afro-Asiatic [afro1255]
egyp1253	Afro-Asiatic [afro1255]
said1239	Afro-Asiatic [afro1255]
chad1249	Afro-Asiatic [afro1255]
nubi1253	Afro-Asiatic [afro1255]
suda1236	Afro-Asiatic [afro1255]
suda1237	Afro-Asiatic [afro1255]
cypr1248	Afro-Asiatic [afro1255]
nort3139	Afro-Asiatic [afro1255]
alge1239	Afro-Asiatic [afro1255]
alge1240	Afro-Asiatic [afro1255]
hass1238	Afro-Asiatic [afro1255]
jude1264	Afro-Asiatic [afro1255]
jude1265	Afro-Asiatic [afro1255]
liby1240	Afro-Asiatic [afro1255]
malt1254	Afro-Asiatic [afro1255]
tuni1259	Afro-Asiatic [afro1255]
anda1287	Afro-Asiatic [afro1255]
moro1292	Afro-Asiatic [afro1255]
stan1318	Afro-Asiatic [afro1255]
impe1235	Afro-Asiatic [afro1255]
boht1238	Afro-Asiatic [afro1255]
hert1241	Afro-Asiatic [afro1255]
assy1241	Afro-Asiatic [afro1255]
chal1275	Afro-Asiatic [afro1255]
jewi1240	Afro-Asiatic [afro1255]
barz1241	Afro-Asiatic [afro1255]
lish1247	Afro-Asiatic [afro1255]
hula1244	Afro-Asiatic [afro1255]
lish1246	Afro-Asiatic [afro1255]
koys1242	Afro-Asiatic [afro1255]
lish1245	Afro-Asiatic [afro1255]
mlah1239	Afro-Asiatic [afro1255]
turo1239	Afro-Asiatic [afro1255]
clas1252	Afro-Asiatic [afro1255]
clas1253	Afro-Asiatic [afro1255]
nucl1706	Afro-Asiatic [afro1255]
midd1366	Afro-Asiatic [afro1255]
late1255	Afro-Asiatic [afro1255]
west2763	Afro-Asiatic [afro1255]
olda1245	Afro-Asiatic [afro1255]
anci1244	Afro-Asiatic [afro1255]
hebr1245	Afro-Asiatic [afro1255]
sama1313	Afro-Asiatic [afro1255]
phoe1239	Afro-Asiatic [afro1255]
puni1241	Afro-Asiatic [afro1255]
ugar1238	Afro-Asiatic [afro1255]
hadr1235	Afro-Asiatic [afro1255]
mina1279	Afro-Asiatic [afro1255]
faif1234	Afro-Asiatic [afro1255]
jaba1234	Afro-Asiatic [afro1255]
qata1238	Afro-Asiatic [afro1255]
saba1279	Afro-Asiatic [afro1255]
geez1241	Afro-Asiatic [afro1255]
amha1245	Afro-Asiatic [afro1255]
argo1244	Afro-Asiatic [afro1255]
hara1271	Afro-Asiatic [afro1255]
silt1240	Afro-Asiatic [afro1255]
wola1253	Afro-Asiatic [afro1255]
zayy1238	Afro-Asiatic [afro1255]
gafa1240	Afro-Asiatic [afro1255]
kist1241	Afro-Asiatic [afro1255]
inor1238	Afro-Asiatic [afro1255]
mesm1243	Afro-Asiatic [afro1255]
mesq1240	Afro-Asiatic [afro1255]
seba1251	Afro-Asiatic [afro1255]
tigr1271	Afro-Asiatic [afro1255]
daha1247	Afro-Asiatic [afro1255]
tigr1270	Afro-Asiatic [afro1255]
sheh1240	Afro-Asiatic [afro1255]
soqo1240	Afro-Asiatic [afro1255]
hoby1242	Afro-Asiatic [afro1255]
bath1244	Afro-Asiatic [afro1255]
hars1241	Afro-Asiatic [afro1255]
mehr1241	Afro-Asiatic [afro1255]
aika1237	None
ainu1240	Ainu [ainu1252]
kuri1271	Ainu [ainu1252]
sakh1245	Ainu [ainu1252]
arap1274	Algic [algi1248]
gros1243	Algic [algi1248]
nawa1259	Algic [algi1248]
chey1247	Algic [algi1248]
atik1240	Algic [algi1248]
moos1236	Algic [algi1248]
nort1552	Algic [algi1248]
mich1243	Algic [algi1248]
plai1258	Algic [algi1248]
sout2978	Algic [algi1248]
swam1239	Algic [algi1248]
wood1236	Algic [algi1248]
mont1268	Algic [algi1248]
nask1242	Algic [algi1248]
caro1243	Algic [algi1248]
muns1251	Algic [algi1248]
unam1242	Algic [algi1248]
loup1245	Algic [algi1248]
mahi1248	Algic [algi1248]
east2544	Algic [algi1248]
west2630	Algic [algi1248]
male1292	Algic [algi1248]
mikm1235	Algic [algi1248]
loup1243	Algic [algi1248]
wamp1249	Algic [algi1248]
mohe1244	Algic [algi1248]
wamp1250	Algic [algi1248]
nant1249	Algic [algi1248]
pisc1239	Algic [algi1248]
powh1243	Algic [algi1248]
kick1244	Algic [algi1248]
mesk1242	Algic [algi1248]
